id,name,value,maxlife,tags,foodCommodities,rarity,foodPerMonth,desc,natural_death,icon,hullmod
lizzer,Thermochromic Lizard,22000,1095,c_reptile,"IndEvo_pet_food, food, organs",1,1,"A cute creature that spends most of its time on the hot surfaces of the engine room, changing color depending on the temperature. Some mechanics seem to trust these lizards more than the ship's monitoring systems. They are considered extremely friendly and easy to keep, owing mostly to the fact that they are too lazy to move when approached. They can apparently survive in active plasma chambers.",moved to a warmer spot in the engine fuel conduit.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
plasmasnek,Plasma Snake,22000,1095,c_reptile,"IndEvo_pet_food, food, organs",1,1,"These are long, slender creatures that emit a glowing plasma field around their skin. They are popular for their striking appearance and ability to produce light in dark environments, and make for great makeshift weapons in a pinch, but have to be kept in faraday cages lest they interfere with the sensitive systems aboard a ship.",gave out under the constant fluctuations of the ships charge fields.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
mechiders,Mechiders,30000,1460,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery",0.4,1,"These are tiny spider-like utility drones that can crawl over almost any surface and are usually used for various maintenance tasks on a starship. They are highly customizable and can be programmed to perform anything from cleaning to surveillance. Most people find them repulsive, but there's always that weirdo crewman that loves em. Any capital ship worth their name has an illegal fighting club for modded ones.",got too damaged in an arena fight and was beyond saving.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
tammy,Tammy,30000,1460,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery",0.3,2,"Tri-Tachyon Alchemical Moss, affectionately called ""Tammy"" by most spacers, is the result of a cross-department shipping error within a Tri-Tachyon blacksite. Combining both organic and nanotechnology, it is neither plant nor bot, but definitely semi-sentient. It tends to use its pot as torso, forming roots to walk around with, and likes playing pranks with the electrical grid. The former employee that saved it from the incinerator is called a hero by most crewmen, and considered an evil witch by maintenance technicians.",accidentally electrocuted itself and shut down.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
hive,Bluejacket Hive,30000,1460,c_mech,"IndEvo_pet_food, IndEvo_parts, heavy_machinery",0.4,2,"While not exactly a living thing, this Tri-Tachyon Drone Hive produces shared conciousness delta level AI swarms to serve as messengers and companions. They can even form some simple games! All Bluejacket hives can network and usually interface with each other when close enough, allowing for covert information gathering - that is, were they not three decades out of date with easily spoofed security codes. They eat credstics for sustenance.","bricked itself due to a failed software update. Circle of life, and all.",graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
fairy,Clockwork Fairy,30000,1460,"c_mech, no_sell, no_drop","IndEvo_pet_food, IndEvo_parts",0.5,1,"Crafted through a sponsored research project at Galatia Academy, the Clockwork Fairy is a mesmerizing creation of intricate clockwork and advanced technology. This enchanting mechanical creature, beloved by children and fairy tale enthusiasts alike, buzzes about with mischievous charm while indulging in playful misdemeanors such as petty theft and tax evasion. Its whimsical presence captivates hearts and evokes joy, while pirates, for reasons unknown, harbor an inherent dislike for it.",fell apart in mid-air and remains motionless.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
bugdog,Bugdog,22000,1095,c_mammal,"IndEvo_pet_food, food",0.2,2,"An odd creature with no known origin, mostly known for its perpetually displeased face and tendency to grow long and fancy eyebrows when stressed. Beauty pageants for bugdogs with fashionably styled facial hair were established shortly after their discovery, only to be ruled inhumane when multiple dedicated stress-shops were uncovered. Bugdogs are notorious for causing electronic malfunctions around them, leaving a trail of broken devices and frustrated owners in their wake. Their disdainful snorts and grumbles are considered endearing by a small subset of slightly deranged spacers.",died of stress.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
doge,Space Dog,22000,1095,c_mammal,"IndEvo_pet_food, food, organs",1,2,"A simple dog from a breed accustomed to the variable gravity of ships and the sudden change in orientation that can occur in gravity wells. It is still the best friend of many a crew, even if there are some minor technical difficulties in taking it out for a walk.",passed on in peace.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
spiritfox,Spirit Fox,22000,1095,c_mammal,"IndEvo_pet_food, food, organs",0.7,1,"Considered ceremonial pets by the Luddic Church, these foxes are typically found with pilgrims journeying across the sector. Folklore tells of Ludds' Spirit watching the world through their eyes, taking in both sin and suffering, then absolving the traveller of their vices when the journey is complete - to thank them for sights seen and unseen. Spirit Foxes are friendly and playful, but require more maintenance than other animals.",returned to Ludds eternal embrace.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
hampter,Hamster,2000,31,c_mammal,"IndEvo_pet_food, food",2,1,It's a hamster. Hates artificial gravity. Tends to die within a month. ,HAMSTER_CAUSE_OF_DEATH,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
gravcat,Grav-Cat,22000,1095,c_mammal,"IndEvo_pet_food, food, organs",1,1,"These are genetically-engineered cats with an almost surreal ability to stick to a surface. They can walk on walls and ceilings and are often used as playful companions by spacers on long missions. Many a gunner has missed a shot due to sudden ceiling-borne airdrops by grav cats, but who can blame em?",now happily hunts grav-mice on ludds endless farm.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
phasecat,Phase Cat,22000,1095,c_mammal,"IndEvo_pet_food, food, organs",0.8,1,"These are sleek, black cats with glowing eyes that are able to enter phase for a few seconds at a time, causing untold chaos wherever they happen to wander - which usually entails moving straight through a wall. They are often seen as good luck charms by space-faring crews, thought to be protecting them against horrors from the abyss, and some even believe that they can see into the future.","went on, to stand strong in the eternal defence of the living.",graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
spacerat,Space Rat,8000,730,c_mammal,"IndEvo_pet_food, food, organs",1.2,1,"These are small, furry rodents that are often kept as pets on space stations and ships. They are low-maintenance and can survive in almost any environment, making them a popular choice among spacers - and food, if the situation is desperate enough. Colour and fur pattern is fully customizeable.",was discovered lifeless in its habitat.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
lukasrat,Lunar Rat,8000,730,c_mammal,"IndEvo_pet_food, food, organs",1,1,"A rather rare rodent with white to yellow coloration that can float above the ground for a few seconds at a time. Loves round objects and will try to chase them, often jumping towards lightbulbs or windows in an attempt to reach them. Lunar Rats need very little air and can survive in near-vacuum for a surprisingly long time.",went to live on the cheese moon for eternity.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
dumbass_leopard,Qaras Leopard,8000,365,c_mammal,"IndEvo_pet_food, organs",0.5,4,"A result of unsanctioned, haphazard genemodding of an old earth snow leaopard, this giant cat has a beautiful, gleaming white coat of silklike fur. They are agressive, stupid and have convoluted dietary and habitation requirements, are kept mostly by megalomaniac rogue captains, and tend to die early. Nonetheless, they are prized far beyond their value as a testament to Pirate prowess and ingenuity.",ran against a wall full force and died.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
schafunschaf,Void Sheep,22000,1095,c_mammal,"IndEvo_pet_food, food",0.2,2,"A rather elusive pet, the Void Sheep is known for its peculiar trait of ceasing to exist when not under constant observation. Clothing made from its wool holds tremendous value and is highly sought after due to its rarity. Complete, released sets are extremely difficult to come by, as they have a tendency to mysteriously vanish. Despite its unpredictable nature, the Void Sheep is undeniably fluffy and endearing, often surprising its owners with unexpected, playful antics.",suddenly vanished and failed to reappear up until now.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
captain,Former Pirate Captain,10,3650,"c_mammal, no_sell, no_drop","IndEvo_pet_food, food, organs",0,2,"This unfortunate individual, formerly called Captain Perch, seems to have been the original owner of a certain cyberparrot-turned-pirate-lord. He displays signs of diminished responsiveness, excessive drooling, and emits peculiar, animalistic vocalizations, likely due to his crudely removed voice implants. While the exact details of his condition remain unclear, the scars he bears suggest an ill-fated attempt to hide crackers in his brain. Likes to eat soft buns, collecting pretty - if worthless - baubles, and cuddling up to the flux ducts.",passed away while cuddled up to the heating vents.,graphics/icons/misc/pet_icon.png,IndEvo_petHullmod
