id,trigger,conditions,script,text,options,notes
#RULESET_NAME IndEvo,,,,,,
,,,,,,
#missiles,,,,,,"2 Stages: Transponder and Confiscation. Run in order, and skippable in order for 1 sp each"
#Caught after use without transponder,,,,,,
IndEvo_missile_caughtAfterUseBegin,BeginFleetEncounter,"$missile_chasingPlayerMissileUse score:1000
$missile_didAlready","$missile_didAlready = true 0
MakeOtherFleetAggressive missileUse false
unset $ignorePlayerCommRequests
$missile_confirmedOffenseCount++ 14
$missileUseCaughtConv = true 0
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
OpenComms",,,
IndEvo_missile_openComm_knowsPlayer,OpenCommLink,$entity.missileUseCaughtConv score:100,"AddText ""\""Deplyoying long-range strategic munitions in civilized $faction volumes is against the law. You're hereby ordered to submit the entirety of your arsenal for confiscation!\""""",,"0:tOff_comply:Comply and prepare for an inspection
1:IndEvo_missile_attemptSPTalk:Try to talk your way out of it
2:tOff_refuse:Refuse and cut the comm link",
IndEvo_missile_openComm_doesNotKnowPlayer,OpenCommLink,"!$entity.patrolAllowTOff
$entity.missileUseCaughtConv score:100
!$entity.knowsWhoPlayerIs","AddText ""\""Unknown $shipOrFleet, identify yourself! Deplyoying long-range strategic munitions in civilized $faction volumes is against the law. You're hereby ordered to turn your transponder on and submit the entirety of your arsenal for confiscation!\""""
AdjustRep $faction.id TRANSPONDER_OFF
AdjustRepActivePerson TRANSPONDER_OFF
SetStoryOption avoid_scan 1 avoidCargoScan ui_char_spent_story_point ""Talked your way out of a confiscation order""",,"0:tOff_comply:Turn the transponder on and comply
1:IndEvo_missile_attemptSPTalk:Try to talk your way out of it
2:tOff_refuse:Refuse and cut the comm link",
,,,,,,
IndEvo_missile_openComm_refuseConfiscation,DialogOptionSelected,$option == missile_refuse,"$entity.ignorePlayerCommRequests = true 0
unset $entity.transponderOffConv
AdjustRep $faction.id TRANSPONDER_OFF_REFUSE
AdjustRepActivePerson TRANSPONDER_OFF_REFUSE
MakeHostileWhileTOff tOff true 7
ShowDefaultVisual
EndConversation
$sourceMarket.smugglingScanTimeout = true 30",,,
,,,,,,
#Crucible with colony,,,,,,
IndEvo_crucible_market_open,OpenInteractionDialog,"$hasMarket
$IndEvo_crucible score:100","ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen","Recently restored lights flicker on as if already ancient, illuminating clouds of dust as your shuttle traverses the industrial flightways. Crossing the threshold of the dark, claustrophobic corridors, a residential hangar opens up, the gargoyle-like guidance mechanisms watching with almost contemptous gaze as you make your way towards the busy landing pads. 

While the personnel manning flight control sounds chipper, the architecture turns their friendly speech into something almost foreboding.",,
#IndEvo_crucible_market_flavourTextEnabled,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$crucible_introTextShown",$crucible_introTextShown = true 0,"Recently restored lights flicker on as if already ancient, illuminating clouds of dust as your ship traverses the industrial flightways. Crossing the threshold of the dark, claustrophobic corridors, a residential hangar opens up, the gargoyle-like guidance mechanism watching in contempt as you make your way towards the busy landing pads. 

While the personnel manning flight control sounds chipper, the architecture turns their friendly speech into something almost foreboding.",,
IndEvo_crucible_market_activate,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$tag:crucible_enabled",,,0:IndEvo_crucible_startActivate:Visit the heart of the crucible,
IndEvo_crucible_market_addPilferOption,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$crucible_looted",,The initial survey revealed a treasure trove of resources to be found - as well as an extremely hostile and equally active security system. Looting this place will not be easy.,IndEvo_crucible_startLooting:Start an expedition for loot,scavenge for stuff (once)
IndEvo_crucible_market_addTravelOptionPoint,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
$tag:crucible_enabled",,,IndEvo_crucible_addTravelOptions:Visit the Control Room,travel options 
IndEvo_crucible_market_addTravelOptionPointDisabled,PopulateOptions,"$menuState == main
$hasMarket
$IndEvo_crucible
!$tag:crucible_enabled","SetEnabled IndEvo_crucible_addTravelOptions false
SetTooltip IndEvo_crucible_addTravelOptions ""The doors to the control room appear to be locked shut. Attempts to circumvent or breach them may damage the delicate machinery inside  - you will have to find a way to power them.""",,IndEvo_crucible_addTravelOptions:Visit the Control Room,
,,,,,,
#Crucible without colony,,,,,,
IndEvo_crucible_open,OpenInteractionDialog,$IndEvo_crucible score:100,FireAll CrucibleOptions,,,
IndEvo_crucible_flavourTextEnabled,CrucibleOptions,"$tag:crucible_enabled
!$crucible_introTextShown",$crucible_introTextShown = true 0,Gone is the serene ambience of approach as your fleet is battered by the emissions of a machine kneading realspace like dough. You watch asteroids caught in ages past get ground to dust by gears of unfathomable size as the trusty axilliary intelligence unit reluctantly guides you towards the docking clamps.,,
IndEvo_crucible_flavourTextDisabled,CrucibleOptions,"!$tag:crucible_enabled
!$crucible_introTextShown",$crucible_introTextShown = true 0,"Your ship glides towards the imposing docking areas in silence, accompanied only by the rough, choppy and almost dusty droning of an auxiliary intelligence unit dictating long-outdated docking instructions. Clamps made for a ship thrice your size slowly break from their ancient rest to welcome what seems like a speck of debris before them.",,
,,,,,,
IndEvo_crucible_addActivateOption,CrucibleOptions,"!$tag:crucible_enabled
$crucible_explored",,,0:IndEvo_crucible_startActivate:Visit the heart of the crucible,
IndEvo_crucible_addExploreOptionFirstVisit,CrucibleOptions,"!$crucible_explored
!$first_visit",,"The docking procedure is as smooth as can be expected from a machine clearly predating - and abandoned since - the advent of hypertech. 

Worse still, the hangar doors are locked shut and unpowered - you'll have to find a way to open them from the inside.",1:IndEvo_crucible_explore:Explore the Crucible,"Explore -> show loot, market, enable"
IndEvo_crucible_addExploreOption,CrucibleOptions,"!$crucible_explored
$first_visit",,"The grinding articulations of the ancient nav-aux almost seem welcoming this time around, and the docking process, as could be expected, is about as smooth as the voice sounds.

The hangar doors remain locked shut. You'll have to continue your search to open them.",1:IndEvo_crucible_explore_return:Continue the exploration,"Explore -> show loot, market, enable"
IndEvo_crucible_addColonizeOption,CrucibleOptions,$crucible_explored,,,3:IndEvo_crucible_colonize:Establish a colony,make it into a colony
IndEvo_crucible_addPilferOption,CrucibleOptions,"!$crucible_looted
$crucible_explored",,Even the initial survey reveals a treasure trove of resources to be found - as well as an extremely hostile and equally active security system. Looting this place will not be easy.,8:IndEvo_crucible_startLooting:Start an expedition for loot,scavenge for stuff (once)
IndEvo_crucible_addPilferedOption,CrucibleOptions,"$crucible_looted
$crucible_explored","SetEnabled IndEvo_crucible_startLooting false
SetTooltip IndEvo_crucible_startLooting ""The easily accessible parts of the crucible have been swept clean by your prior expedition - what remains in the deep recesses of the machine requires dedicated infrastructure to retreive.""",,8:IndEvo_crucible_startLooting:Start an expedition for loot,already done the looting
IndEvo_crucible_addTravelOptionPoint,CrucibleOptions,"$crucible_explored
$tag:crucible_enabled",,,2:IndEvo_crucible_addTravelOptions:Visit the Control Room,travel options 
IndEvo_crucible_addTravelOptionPointDisabled,CrucibleOptions,"$crucible_explored
!$tag:crucible_enabled","SetEnabled IndEvo_crucible_addTravelOptions false
SetTooltip IndEvo_crucible_addTravelOptions ""The doors to the control room appear to be locked shut. Attempts to circumvent or breach them may damage the delicate machinery inside  - you will have to find a way to power them.""",,2:IndEvo_crucible_addTravelOptions:Visit the Control Room,
IndEvo_crucible_addCloseDialogueOption,CrucibleOptions,,"SetShortcut IndEvo_crucible_selectCloseOption ""ESCAPE""",,9:IndEvo_crucible_selectCloseOption:Return,
,,,,,,
#Travel options,,,,,,
IndEvo_crucible_addTravelOptions,DialogOptionSelected,$option == IndEvo_crucible_addTravelOptions,FireAll CrucibleTravelOptions,,,
IndEvo_crucible_addTravelIntroText,CrucibleTravelOptions,!$crucible_travelIntroTextShown,$crucible_travelIntroTextShown = true 0,"You step into the control area. Red light filters through the glass dome above you, occasionally dimmed by a passing city-sized gear spoke. The nervous energy of the machine is much more noticeable here, accentuated by agglomerations of flickering screens, blinking lights and the almost physical hum of archaic holo-emitters.",,
IndEvo_crucible_unlockWormhole,CrucibleTravelOptions,"!$crucibleWormholeUnlocked
IndEvo_HasGenericSpecialItemInCargo wormhole_anchor",,Orange-flashing monitors remind you of a vacant alcubierre cradle in the lower sections. The specifications hint towards  expansion-era wormhole technology but are otherwise unhelpful.,1:IndEvo_crucible_unlockWormhole_select:Install a Wormhole Anchor into the cradle,integrate wormhole
IndEvo_crucible_unlockWormholeDisabled,CrucibleTravelOptions,"!$crucibleWormholeUnlocked
!IndEvo_HasGenericSpecialItemInCargo coronal_portal","SetEnabled IndEvo_crucible_unlockWormhole_select false
SetTooltip IndEvo_crucible_unlockWormhole_select false ""You lack the prerequisite items to slot into the cradle. The markings reference Domain Instanteneous Space Transversal tech - whatever that is supposed to be.""",Orange-flashing monitors remind you of a vacant alcubierre cradle in the lower sections. The specifications hint towards expansion-era wormhole technology but are otherwise unhelpful.,1:IndEvo_crucible_unlockWormhole_select:Attempt to fix the alcubierre cradle,
IndEvo_crucible_useWormhole,CrucibleTravelOptions,$crucibleWormholeUnlocked,,Systems report your wormhole anchor to be operational and ready for use.,1:IndEvo_crucible_useWormhole_select:Open a wormhole,Fire wormhole if integrated
