name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
VPC Supplies,IndEvo_vpc_supplies,"IndEvo_VPC_common, pather1",,2,30000,1000,1,,graphics/icons/cargo/VPC_supplies.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Standard supplies were slightly more extravagant back in the day. These come pre-packed with artificial ice cream!",96
VPC Exo-Armor Suits,IndEvo_vpc_marines,"IndEvo_VPC_uncommon, pather3",,,50000,1000,1,,graphics/icons/cargo/VPC_marines.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Pseudo-AI assisted Exo-Armor Suits. After all, military training can only do so much.",96
VPC Heavy Machinery,IndEvo_vpc_heavy_machinery,"IndEvo_VPC_common, pather1",,,30000,1000,1,,graphics/icons/cargo/VPC_machinery.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Machines will always be just that, and with a bit of hotwiring the ones on this chip are perfectly fine for export.",96
VPC Domestic Goods,IndEvo_vpc_domestic_goods,"IndEvo_VPC_common, pather1",,,30000,1000,1,,graphics/icons/cargo/VPC_domgoo.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Domestic goods unlike any other of todays' Persean Sector. Some of these have unknown functions, but might still make for high quality paper weights.",96
VPC Recreational Drugs,IndEvo_vpc_drugs,"IndEvo_VPC_uncommon, pather2",,,50000,1000,1,,graphics/icons/cargo/VPC_drugs.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Nothing current can quite compare to the chemistry of past minds - literally.",96
VPC Heavy Armaments,IndEvo_vpc_hand_weapons,"IndEvo_VPC_uncommon, pather3",,,50000,1000,1,,graphics/icons/cargo/VPC_heavwea.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Praise be unto Ludd for technological regression, without which, these guns would be worthless.",96
VPC Ship Components,IndEvo_vpc_IndEvo_parts,"IndEvo_VPC_uncommon, pather4",,,50000,1000,1,,graphics/icons/cargo/VPC_parts.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
The only source of new components in the degraded sector. The chip went from common, to worth tens of thousands of credits due to this.",96
VPC Luxury Goods,IndEvo_vpc_luxury_goods,"IndEvo_VPC_common, pather3",,,30000,1000,1,,graphics/icons/cargo/VPC_luxgoo.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"Remnant of a more advanced age, a Tri-Tachyon Variable Production Chip enables the retooling of variable industries.
Only Tri-Tachyon could ever serialize nonserialized products.",96
VPC Conflict Package,IndEvo_vpc_marines_hand_weapons,"IndEvo_VPC_rare, pather5, hist3t",,,100000,1000,1,,graphics/icons/cargo/VPC_war.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"A surviving example of Tri-Tachyons' premium industrial software for commodity production.
War is always the same - and this is what you need to win it.",97
VPC Exploration Package,IndEvo_vpc_supply_fuel,"IndEvo_VPC_rare, pather4, hist3t",,,100000,1000,1,,graphics/icons/cargo/VPC_exp.png,ui_chip_pickup,ui_corrupted_nano_drop,indevo.items.VPCItemPlugin,,"A surviving example of Tri-Tachyons' premium industrial software for commodity production.
Explore without fear of coming home to empty stores!",97
,,,,,,,,,,,,,,,
Base Ambassador Item,IndEvo_amb,"IndEvo_amb, no_drop",,,1000,1,1,,graphics/icons/cargo/space_suit.png,ui_cargo_crew,ui_cargo_crew_drop,indevo.items.AmbassadorItemPlugin,,,800
,,,,,,,,,,,,,,,
