name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Minor Printing Defects,IndEvo_print_low,,,,dmod,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsLow,"This hull shows some signs of automated construction - Connectors fused to sockets, small metal fragments jutting out of walls due to scanning errors and other minor, but annoying problems.

Reduces the repair rate by %s, increases CR degradation after peak performance time by %s, and has a small chance to experience %s in combat.",,,graphics/hullmods/printing_defects.png
Printing Defects,IndEvo_print_med,,,,dmod,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsMed,"This hull has the telltale signs of automated construction - Steel plates where there should not be any, doors welded to their frames, metal beams crossing through corridors and constant minor issues plague this ship.

Reduces the repair rate by %s, increases upkeep by %s, increases CR degradation after peak performance time by %s, and has a chance to experience %s in combat.",,,graphics/hullmods/printing_defects.png
Major Printing Defects,IndEvo_print_high,,,,dmod,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintDefectsHigh,"This hull bears heavy marks of automated construction - Faulty bulkheads, leaking atmosphere and entire inaccessible sections due to scanning and construction errors. It is a prime example of why this technology was not established before the collapse.

Reduces the repair rate by %s, increases upkeep by %s, slows turret turn rate by %s, increases CR degradation after peak performance time by %s, and has a high chance to experience %s in combat.",,,graphics/hullmods/printing_defects.png
Automated Construction,IndEvo_auto,,,,,,,,TRUE,,0,0,0,0,indevo.industries.derelicts.hullmods.PrintingHullMod,"This hull was created entirely via automated means. No amount of work will ever completely remove the traces of this, even if they are no longer impeding.",,,graphics/hullmods/automated_construction.png
Invisibator,IndEvo_magicInvisibator,,,,,,,,TRUE,TRUE,0,0,0,0,indevo.industries.artillery.hullmods.MagicInvisibator,"I take the rabbit and I put it into my hat, poof, it's gone",,,graphics/hullmods/automated_construction.png
Ship Pet,IndEvo_petHullmod,,,,,,,,TRUE,,0,0,0,0,indevo.industries.petshop.hullmods.PetHullmod,This ship is home to a pet. Manage it at any of the pet centers in the Persean Sector.,,,graphics/hullmods/pet_icon_hullmod.png
Forge World Experiment,IndEvo_handBuilt,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.HandBuiltHullmod,"A ship born of a forge world artificer's fever dream. Crafted for research, as a development project or simply on a whim, each one is unique, brimming with idiosyncrasies both beneficial and detrimental. Rarely do these vessels see military use; those that prove remotely functional are prized as esoteric collector's items or dismantled for parts, their innards contributing to the next potentially questionable endeavor.",,,graphics/hullmods/forgeworld_experimental.png
Hellpods,IndEvo_hellpods,,,,,,,,TRUE,,0,0,0,0,indevo.industries.changeling.hullmods.Hellpods,"The usual amenities provided to Marines have been stripped to provide space for a rapid-entry atmospheric deployment system, allowing for extremely effective precision strikes at extremely high casualty rates.",,,graphics/hullmods/hellpods.png
Drive Field Tuning,IndEvo_augfield,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,4,8,10,15,indevo.dialogue.research.hullmods.FieldModulation,Optimize your engine parameters with the data you got from a research project. Increases maximum burn level by %s at the cost of a %s increase in supply and fuel use.,Increases maximum burn level.,"Full integration of the protocols allows for much better results; negating the increased %s consumption, improving fuel economy by %s and decreasing the sensor profile by %s.",graphics/hullmods/indevo_augfield.png
,,,,,,,,,,,,,,,,,,,
#Ghost Ships,,,,,,,,,,,,,,,,,,,
