id,type,text1,text2,text3,notes
#Entities,,,,,
IndEvo_JumpRift,CUSTOM,"A massive rip in the fabric of space leading to hyperspace. It was created by firing the Rift Generator, moving the planet that once stood here to a different star system.",,,
IndEvo_arsenalStation,CUSTOM,"An abandoned arsenal station, built to outlast whatever weapons a long dead enemy would have brought to bear. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,
IndEvo_orbitalLaboratory,CUSTOM,"An abandoned orbital laboratory. Stations like this were built to keep experimental tech away from prying eyes. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,
IndEvo_Watchtower,CUSTOM,"This automated remnant of old Domain system defence transmits targetting data to nearby artillery. The encrypted target data is inaccessible to the controlling faction, and does not expose the actual position of the observed fleet.",,,
IndEvo_artilleryStation,CUSTOM,"A massive, Domain-built strategic system defence weapon, this behemoth of forgotten technology can secure a large area all by itself. It operates semi-autonomously and will target any hostile entities that are spotted within range.",,,
IndEvo_Artillery_mortar,CUSTOM,"A massive, Domain-built strategic system defence weapon, this behemoth of forgotten technology can secure a large area all by itself. It operates semi-autonomously and will target any hostile entities that are spotted within range.

The defence platform is armed with a mortar, bombarding targets with a high volume of explosive ordinance at extreme range.

Old safety protocols prohibit targeting of inhabited areas.",,,
IndEvo_Artillery_missile,CUSTOM,"A massive, Domain-built strategic system defence weapon, this behemoth of forgotten technology can secure a large area all by itself. It operates semi-autonomously and will target any hostile entities that are spotted within range.

The defence platform is armed with a missile launcher, firing oversized long-range target seeking ECM missiles to interdict and slow hostiles.

Old safety protocols prohibit targeting of inhabited areas.",,,
IndEvo_Artillery_railgun,CUSTOM,"A massive, Domain-built strategic system defence weapon, this behemoth of forgotten technology can secure a large area all by itself. It operates semi-autonomously and will target any hostile entities that are spotted within range.

The defence platform is armed with a railgun, firing multiple extremely fast projectiles at an long range.

Old safety protocols prohibit targeting of inhabited areas.",,,
IndEvo_GachaStation,CUSTOM,"The silent rings of this massive autofactory loom in front of a violent star, heat-shields blackened by stellar emissions. Pillars of machinery, almost gothic in their complicated shapes and decorations, show the reverence with which this old station was built and kept - which obviously did not save it from abandonment.",,,
IndEvo_SubspaceStation,CUSTOM,Placeholder Text - You should download all my Mods,,,
IndEvo_AnimalCenter,CUSTOM,"Animal Centers run by the Persean Conservation Initiative are one of the few examples of independent stations around faction-owned planets. Pets never go out of style, and these bustling mini-ports are testament to that.",,,
IndEvo_abandonedPetCenter,CUSTOM,"The husk of a long abandoned pet center. Although once common, they are quick to degrade and disintegrate once abandoned, and are thus surprisingly rare. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage and rare pets.",,,
