name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
# COLONY FACTIONS BUILTINS,,,,,,,,,,,,,,,,,,
People's Armada,_red_army,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods._red_army,"This ship has been rebuilt with simple, multiply redundant, and easily replaced modular components with an eye towards durability and ease of maintenance. As a result, repair rates both in and outside of combat are increased by %s, the effects of EMP damage and hostile terrain are reduced by %s, and weapons and engines gain %s bonus durability.",,graphics/icons/skills/combat_endurance2.png
Capital-Grade Targeting Unit,_commiecore,,,Red Guards,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CommieCore,This ship has been the recipient of an advanced targeting unit clearly transplanted - with great effort - from a capital-class warship. Extends the range of nonmissile weapons by %s. Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.,,graphics/icons/skills/target_analysis.png
Merchant Marine,_merchant_marine,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods._merchant_marine,"This ship has been mercilessly optimized for bulk efficiency and protection from asset depreciation/loss at the expense of all other considerations. Maintenance costs, fuel use, and minimum crew required have all been reduced by %s, and armor has been increased by %s points. However, speed and maneuverability are both reduced by %s.",,graphics/icons/skills/recovery_ops.png
Ashen Bulwark,_ashen_bulwark,,,Ashen Keepers,,,,,TRUE,,0,0,0,0,data.scripts.hullmods._ashen_bulwark,"This ship has been refit by Ashen Knight enginseers for use in their never-ending fight for survival against more fundamentalist Luddic sects. Buttressed and spaced reactive armor panels increase armor rating by %s points and reduce damage taken from incoming missiles over %s by %s, up to a maximum of %s points of damage reduction. In addition, the hull has been studded with microscale close-range EMP emitters which will engage and create disabling arcs to %s every %s.

Unfortunately as the aftermarket systems require frequent maintenance and replacement, the ship incurs %s the normal monthly supply costs.",,graphics/hullmods/_ashen_bulwark.png
Stormhawk Modular Engineering,_warhawk_modular,,,Stormhawk Republic,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.WarhawkModular,"This ship has been constructed in accordance with the Stormhawk Republic's advanced modular engineering standards, replacing several of its weapon emplacements with highly-adaptable %s mounts. This design philosophy extends to any nanoforges installed in the hull, where a ready supply of prefabricated fighter chassis and weapons modules enable the strike craft refits to be performed %s faster.",,graphics/hullmods/generic_mod.png
Integrated Bulkhead Flicker-Coils,_science_hull,,,Research Mandate,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.ScienceHull,"Miniaturized low-power phase coils integrated into the bulkheads of this advanced combat vessel enable it to momentarily 'flicker' portions of its structure out of existence when fired upon, taking %s less hull and armor damage from all sources. The phase coils run continuously at a low power when not spooled to combat readiness, reducing sensor signature by %s.

As an unintended side effect of the truly stupendous amounts of power being channeled through the hull, the coils will %s if the ship is ever destroyed.",,graphics/hullmods/_science_hull.png
Broadside Core,_galleoncore,,,Merchant Marine,,,,,TRUE,,0,0,0,0,data.scripts.hullmods._galleoncore,Extends the range of nonmissile weapons by %s. Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.,,graphics/icons/abilities/transponder.png
Aetherodynamic Stabilization Beam Hub,_beam_rotor,,,Red Guards,,,,,TRUE,TRUE,0,0,0,0,data.scripts.hullmods.BeamRotorHullmod,IN SOVIET UNION SPACE HELICOPTER FLIES *YOU*,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,
